id,agency_name,sector,field_office
1,Abuyog Water District,Water District (WD),CSC Field Office - Leyte II
2,Babatngon Water District,Water District (WD),CSC Field Office - Leyte I
3,Basey Water District,Water District (WD),CSC Field Office - Samar
4,Baybay City Water District ,Water District (WD),CSC Satellite Office - Western Leyte
5,Biliran Province State University,State University or College (SUC),CSC Field Office - Biliran
6,Borongan Water District,Water District (WD),CSC Field Office - Eastern Samar
7,Bureau of Fire Protection - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
8,Bureau of Fisheries and Aquatic Resources - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
9,Bureau of Internal Revenue - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
10,Bureau of Jail Management and Penology - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
11,Bureau of the Treasury - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte II
12,Calbayog City Water District,Water District (WD),CSC Field Office - Samar
13,Calbiga Water District,Water District (WD),CSC Field Office - Samar
14,Catarman Water District,Water District (WD),CSC Field Office - Northern Samar
15,Catbalogan Water District,Water District (WD),CSC Field Office - Samar
16,"City Government of Baybay, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte II
17,"City Government of Borongan, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Leyte I
18,"City Government of Calbayog, Samar",Local Government Unit (LGU),CSC Field Office - Samar
19,"City Government of Catbalogan, Samar",Local Government Unit (LGU),CSC Satellite Office - Western Leyte
20,"City Government of Maasin, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Biliran
21,"City Government of Ormoc, Leyte",Local Government Unit (LGU),CSC Field Office - Eastern Samar
22,City Government of Tacloban ,Local Government Unit (LGU),CSC Field Office - Leyte I
23,Civil Service Commission - Regional Office VIII,National Government Agency (NGA),Outside Region VIII
24,Commission on Elections - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
25,Commission on Higher Education - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
26,Commission on Population and Development - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte II
27,Department of Agrarian Reform - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
28,Department of Agriculture - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
29,Department of Budget and Management - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
30,"Department of Economy, Planning and Development - Regional Office VIII",National Government Agency (NGA),CSC Field Office - Leyte II
31,Department of Education - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte II
32,Department of Education - Schools Division Office of Baybay City,National Government Agency (NGA),CSC Satellite Office - Western Leyte
33,Department of Education - Schools Division Office of Biliran,National Government Agency (NGA),CSC Field Office - Biliran
34,Department of Education - Schools Division Office of Borongan City,National Government Agency (NGA),CSC Field Office - Eastern Samar
35,Department of Education - Schools Division Office of Calbayog City,National Government Agency (NGA),CSC Field Office - Samar
36,Department of Education - Schools Division Office of Catbalogan City,National Government Agency (NGA),CSC Field Office - Samar
37,Department of Education - Schools Division Office of Eastern Samar,National Government Agency (NGA),CSC Field Office - Eastern Samar
38,Department of Education - Schools Division Office of Leyte,National Government Agency (NGA),CSC Field Office - Leyte II
39,Department of Education - Schools Division Office of Maasin City,National Government Agency (NGA),CSC Field Office - Southern Leyte
40,Department of Education - Schools Division Office of Northern Samar,National Government Agency (NGA),CSC Field Office - Northern Samar
41,Department of Education - Schools Division Office of Ormoc City,National Government Agency (NGA),CSC Satellite Office - Western Leyte
42,Department of Education - Schools Division Office of Samar,National Government Agency (NGA),CSC Field Office - Samar
43,Department of Education - Schools Division Office of Southern Leyte,National Government Agency (NGA),CSC Field Office - Southern Leyte
44,Department of Education - Schools Division Office of Tacloban City,National Government Agency (NGA),CSC Field Office - Leyte I
45,Department of Environment and Natural Resources Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
46,Department of Health - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte II
47,Department of Health - Treatment and Rehabilitation Center - Dulag,National Government Agency (NGA),CSC Field Office - Leyte II
48,Department of Interior and Local Government - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
49,Department of Labor and Employment - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
50,Department of Migrant Workers - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
51,"Department of Public Works and Highways - Biliran District Engineering Office (Naval, Biliran)",National Government Agency (NGA),CSC Field Office - Leyte II
52,"Department of Public Works and Highways - Eastern Samar District Engineering Office (Borongan City, Eastern Samar)",National Government Agency (NGA),CSC Field Office - Leyte II
53,"Department of Public Works and Highways - Leyte 1st District Engineering Office (Palo, Leyte)",National Government Agency (NGA),CSC Field Office - Leyte II
54,"Department of Public Works and Highways - Leyte 2nd District Engineering Office (Macarthur, Leyte)",National Government Agency (NGA),CSC Field Office - Leyte II
55,"Department of Public Works and Highways - Leyte 3rd District Engineering Office (Villaba, Leyte)",National Government Agency (NGA),CSC Field Office - Leyte II
56,"Department of Public Works and Highways - Leyte 4th District Engineering Office (Ormoc City, Leyte)",National Government Agency (NGA),CSC Field Office - Leyte II
57,"Department of Public Works and Highways - Leyte 5th District Engineering Office (Baybay City, Leyte)",National Government Agency (NGA),CSC Field Office - Leyte II
58,"Department of Public Works and Highways - Northern Samar 1st District Engineering Office (Catarman, Northern Samar)",National Government Agency (NGA),CSC Field Office - Leyte II
